Faculty Name,University,Conference,Category,Score,Matched
Junliang Xing,Chinese Academy of Sciences,CVPR,Computer Vision & Image Processing,0.0277777777777777,Yes
Seungryong Kim,KAIST,CVPR,Computer Vision & Image Processing,0.0625,Yes
Kihong Park,Purdue University,CVPR,Computer Vision & Image Processing,0.0625,Yes
Kwanghoon Sohn,Yonsei University,CVPR,Computer Vision & Image Processing,0.0625,Yes
Zhizhong Han,Wayne State University,CVPR,Computer Vision & Image Processing,0.015625,Yes
Chi-Man Vong,University of Macau,CVPR,Computer Vision & Image Processing,0.015625,Yes
Yu-Shen Liu,Tsinghua University,CVPR,Computer Vision & Image Processing,0.015625,Yes
Matthias Zwicker,University of Maryland - College Park,CVPR,Computer Vision & Image Processing,0.015625,Yes
Junwei Han,NWPU,CVPR,Computer Vision & Image Processing,0.015625,Yes
Christian Wallraven,Korea University,CVPR,Computer Vision & Image Processing,0.25,Yes
Aditya Grover,Univ. of California - Los Angeles,CVPR,Computer Vision & Image Processing,0.25,Yes
Yu-Wing Tai,Dartmouth College,CVPR,Computer Vision & Image Processing,0.0277777777777777,Yes
Shikui Wei,Beijing Jiaotong University,CVPR,Computer Vision & Image Processing,0.0204081632653061,Yes
Jingkuan Song,Tongji University,CVPR,Computer Vision & Image Processing,0.04,Yes
Hanbyul Joo,Seoul National University,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Gerard Pons-Moll,University of Tübingen,CVPR,Computer Vision & Image Processing,0.0204081632653061,Yes
Antonis A. Argyros,University of Crete,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Seungryul Baek,UNIST,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Kwang In Kim,POSTECH,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Svetlana Lazebnik,Univ. of Illinois at Urbana-Champaign,CVPR,Computer Vision & Image Processing,0.25,Yes
Michal Irani,Weizmann Institute of Science,CVPR,Computer Vision & Image Processing,0.25,Yes
Torsten Sattler,Czech Technical University,CVPR,Computer Vision & Image Processing,0.0625,Yes
Jochen Trumpf,Australian National University,CVPR,Computer Vision & Image Processing,0.0625,Yes
Yuchao Dai,NWPU,CVPR,Computer Vision & Image Processing,0.0625,Yes
Hongdong Li,Australian National University,CVPR,Computer Vision & Image Processing,0.0625,Yes
Xiaoxi He,University of Macau,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Lothar Thiele,ETH Zurich,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Yedid Hoshen,Hebrew University of Jerusalem,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Florian Tramèr,ETH Zurich,CVPR,Computer Vision & Image Processing,0.04,Yes
Dan Boneh,Stanford University,CVPR,Computer Vision & Image Processing,0.04,Yes
Patrick D. McDaniel,University of Wisconsin - Madison,CVPR,Computer Vision & Image Processing,0.04,Yes
Michael M. Bronstein,Imperial College London,CVPR,Computer Vision & Image Processing,0.04,Yes
Pierre Vandergheynst,EPFL,CVPR,Computer Vision & Image Processing,0.04,Yes
Anastasios Roussos,University of Exeter,CVPR,Computer Vision & Image Processing,0.04,Yes
