Index,University,Artificial Intelligence & Machine Learning,Machine Learning,Data Science & Data Mining,Computer Vision & Image Processing,Natural Language Processing,Systems & Networking,Databases,Security & Privacy,Human Computer Interaction,Theoretical Computer Science,Software Engineering,Computer Graphics & Virtual Reality,Quantum Computing,Interdisciplinary Fields,Continent
144,Middle East Technical University,0.0,0.7,0.0,5.083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
145,University of Southern California,0.0,36.99318500127323,0.0,32.96672714540362,11.636758563074352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
146,Washington University in St. Louis,0.0,6.983333333333334,0.0,3.3666666666666663,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
147,Utrecht University,0.0,2.5,0.0,0.95,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
148,Xiamen University,0.0,3.819047619047619,0.0,31.952380952380945,0.5357142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
149,Brigham Young University,0.0,1.8166666666666664,0.0,2.944444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
150,Hanyang University,0.0,0.25,0.0,1.4499999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
151,Purdue University,0.0,30.615476190476183,0.0,8.290873015873014,1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
152,Yonsei University,0.0,4.95952380952381,0.0,37.123809523809534,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
153,JKU Linz,0.0,15.016666666666667,0.0,24.019444444444442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
154,National Tsing Hua University,0.0,1.1166666666666667,0.0,16.85238095238095,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
155,Texas A&M University,0.0,13.131385281385283,0.0,15.482142857142854,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
156,Beihang University,0.0,2.4535714285714283,0.0,7.469480519480518,1.1416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
157,Westlake University,0.0,4.5004329004329,0.0,5.833766233766234,1.3325757575757575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
